v1,v3,v4,v5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v22,v23,v24
1,2,-0.5,-1.5,-2,1.5,0,1,1,2,0,1,881471,0.5,0.5,1295159,1476481,1100885,82959738,56,0
2,2,-0.5,-1.5,-2,1.5,0,1,1,2,0,1,729311,0.5,0.5,326835,552351,228785,82949770,56,0
3,2,-0.5,-1.5,-2,1.5,0,1,1,2,2850000,1,1142394,2,0.5,1366890,1612930,1189194,82962903,56,510
4,2,-0.5,-1.5,-2,1.5,0,1,1,2,1280000,1,1305600,2,0.5,1675676,1960541,1441081,82948700,42,1260
5,2,-0.5,-1.5,-2,1.5,0,1,-2,2,0,-2,0,2,0.5,537556,634316,397791,2109163108,36,0
6,2,2,-0.5,-2,0.5,-0.5,1,-0.5,2,832500,-0.5,612000,-0.5,1,778037,824719,739135,79841511,8,2533
7,2,1,-0.5,-2,0.5,-0.5,1,-1.5,2,545000,-1.5,545000,-0.5,1,696719,731555,654916,79843484,8,891
8,2,-0.5,-1.5,-2,1.5,0,1,1,2,0,1,961468,2,0.5,2150236,2494274,1849203,82958113,60,0
9,2,-0.5,-1.5,-2,1.5,0,1,1,2,0,1,977994,2,0.5,1744529,2110880,1360733,82959949,60,0
10,2,1,-0.5,-2,1.5,0,1,-0.5,2,655000,-0.5,620000,1,0.5,847045,889397,787752,69300941,9,2968
11,2,0.5,-0.5,-2,1.5,0,1,0.5,2,482000,0.5,491525,-0.5,0.5,666066,719351,612781,19555135,59,1162
12,2,-0.5,-0.5,-2,1.5,0,1,0.5,2,0,0.5,151901,1,0.5,557990,624949,507771,19551774,60,0
13,2,0,-0.5,-2,1.5,0,1,-1.5,2,467500,-1.5,412000,0.5,0.5,604554,634782,568281,19553423,42,3535
14,2,-0.5,-1.5,-1.5,2,0.5,1,1.5,2,0,1.5,751380,2,0.5,2645785,3042653,2275375,82957559,54,0
15,2,-0.5,-1.5,-1.5,2,0.5,1,1.5,2,0,1.5,1308022,2,0.5,2368844,2605728,2155648,82960286,36,0
16,2,-0.5,-0.5,-1.5,2,0.5,1,0.5,2,620000,0.5,620000,-0.5,0.5,924921,1082158,823180,19515025,66,1009
17,2,-0.5,-1.5,-1.5,2,0.5,1,1,2,1975000,1,2065352,2,0.5,2237869,2595928,1969325,82948610,40,2121
18,2,-0.5,-1.5,-1.5,2,0.5,1,2,2,5000000,2,557761,2,0.5,5487289,8560171,4005721,82957626,54,223
19,2,-0.5,-1.5,-1.5,2,0.5,1,1.5,2,0,1.5,200139,2,0.5,2651062,3048721,2332935,82962785,53,0
20,2,-0.5,-1.5,-1.5,2,0.5,1,1.5,2,0,1.5,338685,2,0.5,2832033,3256838,2435548,82961079,51,0
21,2,-0.5,-1.5,-2,0.5,-0.5,1,-2,2,0,-2,0,0.5,1,298074,357689,226536,2115753402,0,0
22,2,2,-0.5,-2,0.5,-0.5,1,-2,2,672000,-2,445000,1,1,650225,708745,578700,82959217,8,90
23,2,-0.5,-1.5,-2,0.5,-0.5,1,1,2,1220000,1,1327353,2,1,1577732,1924833,1372627,82956861,60,2849
24,2,-0.5,-1.5,-2,0.5,-0.5,1,0,2,170000,0,230025,1.5,1,504375,549769,458981,19710465,116,7346
25,2,-0.5,-1.5,-2,0.5,-0.5,1,0.5,2,727000,0.5,469200,1.5,1,787776,874431,685365,19710995,91,3572
26,2,0.5,-0.5,-2,0.5,-0.5,1,-2,2,360000,-2,249000,0.5,1,399421,439363,359479,19714008,18,440
27,2,0.5,-0.5,-2,0.5,-0.5,1,2,2,0,2,0,2,1,638988,754006,523970,2142963480,6,0
28,2,-0.5,-1.5,-2,0.5,-0.5,1,-1.5,2,195000,-1.5,72000,2,1,339630,366800,298874,19721273,31,209
29,2,0.5,-0.5,-2,0.5,-0.5,1,-1.5,2,160000,-1.5,142000,2,1,222107,244318,186570,19721253,31,1164
30,2,0.5,-0.5,-2,0.5,-0.5,1,-1.5,2,145000,-1.5,142000,0.5,1,267315,286027,248603,19721291,31,1017
31,2,-0.5,-1.5,-2,0.5,-0.5,1,-1.5,2,155000,-1.5,72000,1,1,331403,357915,298263,19721297,31,538
32,2,0.5,-0.5,-2,0.5,-0.5,1,0.5,2,563000,0.5,351000,-0.5,1,564461,598329,536238,19839389,44,192
33,2,0.5,-0.5,-2,0.5,-0.5,1,-2,2,175000,-2,178245,2,1,384392,426675,345953,19802838,26,1288
34,2,-0.5,-1.5,-2,0.5,-0.5,1,2,2,0,2,12403418,2,1,740174,836397,606943,82948386,11,0
35,2,0,-1.5,-2,0.5,-0.5,1,-2,2,300000,-2,169000,0.5,1,319109,335064,303154,19717409,22,3584
36,2,0.5,-0.5,-2,0.5,-0.5,1,-2,2,185000,-2,185000,0.5,1,315561,337650,290316,19717245,29,878
37,2,-0.5,-0.5,-2,0.5,-0.5,1,0.5,2,615000,0.5,701804,-0.5,1,840572,916223,773326,19685793,69,3695
38,2,2,-0.5,-2,0.5,-0.5,1,0.5,2,1670000,0.5,1393000,-0.5,1,1341312,1475443,1166941,19687164,6,1480
39,2,-0.5,-1.5,-2,0.5,-0.5,1,2,2,0,2,2144408,0.5,1,336280,447252,218582,82960206,51,0
40,2,1,-0.5,-2,0.5,-0.5,1,-2,2,484500,-2,528000,1,1,552217,601917,502517,59683028,12,4083
41,2,-0.5,-1.5,-2,0.5,0,0.5,1,2,0,1,3662341,2,0.5,3649376,4050807,2883007,82846625,55,0
