v1,v3,v4,v5,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v22,v23,v24,v25
1,2,0,-0.5,-2,-2,-0.5,0.5,-1.5,2,760000,-1.5,611592,-0.5,0,720550,893482,554823,15160881,97,40,0
2,2,-0.5,-0.5,-2,-2,-0.5,0.5,-0.5,2,823500,-0.5,358727,-0.5,0,741615,815776,660037,15104463,76,40,1
3,2,1,-0.5,-2,-2,-0.5,0.5,-0.5,2,1425000,-0.5,792212,-0.5,0,1347280,1589790,1091297,15198731,51,40,0
4,2,2,-0.5,-2,-2,-0.5,0.5,-2,2,1335000,-2,752722,0.5,0,1034969,1190214,848675,79843479,0,40,0
5,2,-0.5,-0.5,-2,-2,-0.5,0.5,-0.5,2,800000,-0.5,70685,-0.5,0,763167,847115,679219,15118985,66,40,1
6,2,1.5,-0.5,-2,-2,-0.5,0.5,-0.5,2,2490100,-0.5,1678164,-0.5,0,2044161,2330344,1737537,15131515,113,40,1
7,2,-0.5,-0.5,-2,-2,-0.5,0.5,-0.5,2,1100000,-0.5,804217,0.5,0,880690,995180,775007,15150227,107,40,1
8,2,0.5,-0.5,-2,-2,-0.5,0.5,-1.5,2,725000,-1.5,607968,-0.5,0,635731,699304,578515,15194673,85,40,1
9,2,2,-0.5,-2,-2,-0.5,0.5,-0.5,2,895000,-0.5,542000,-0.5,0,713033,798597,620339,15191948,105,40,1
10,2,-0.5,-1.5,-2,-2,-0.5,0.5,-1.5,2,465000,-1.5,45686,-0.5,0,437555,498813,371922,15154039,60,40,1
11,2,0.5,-0.5,-2,-2,-0.5,0.5,-0.5,2,601000,-0.5,550000,-0.5,0,627188,714994,533110,69817323,14,40,1
12,2,1,-0.5,-2,-2,-0.5,0.5,-1.5,2,1250000,-1.5,308328,-0.5,0,892176,1034924,740506,15160830,28,40,0
13,2,-0.5,-0.5,-2,-2,-0.5,0.5,-0.5,2,680000,-0.5,343725,-0.5,0,599337,677251,533410,15174605,88,40,0
14,2,1.5,-0.5,-2,-2,-0.5,0.5,-0.5,2,932000,-0.5,924794,-0.5,0,932838,1035450,802241,15096690,90,40,0
15,2,-0.5,-1.5,-2,-2,-0.5,0.5,-0.5,2,669500,-0.5,46143,-0.5,0,624445,699378,530778,15193328,67,40,1
16,2,-0.5,-0.5,-2,-2,-0.5,0.5,-0.5,2,914000,-0.5,245509,-0.5,0,434975,530670,352330,15190831,90,40,0
17,2,-0.5,-1.5,-2,-2,-0.5,0.5,-2,2,750000,-2,662188,0.5,0,752696,827966,654846,15082453,114,40,0
18,2,-0.5,-0.5,-2,-2,-0.5,0.5,-2,2,0,-2,210074,0.5,0,605361,684058,532718,69819361,106,0,0
19,2,0.5,-0.5,-2,-2,-0.5,0.5,-0.5,2,1001000,-0.5,531628,-0.5,0,885088,982448,778877,15132454,58,41,1
20,2,0.5,-0.5,-2,-2,-0.5,0.5,-0.5,2,820000,-0.5,70498,-0.5,0,745555,849933,678455,15167040,63,41,0
